n	k	truth	candidate	T	N	depth	polarity	anf	gates
4	0	1	15	8	16	0	15	8000	
4	0	1	24	8	24	4	15	8000	10,26,2,1
4	0	1	84	8	24	4	15	8000	2,10,24,1
4	0	1	100	8	24	4	15	8000	11,16,24,1
4	0	1	296	8	24	4	15	8000	17,16,11,16
4	0	1	388	8	24	4	15	8000	1,2,19,17
4	0	1	412	8	24	4	15	8000	17,1,8,24
4	0	1	592	8	24	4	15	8000	3,25,16,24
4	0	2	14	8	14	0	14	8000	
4	0	2	732	8	16	4	0	8000	3,17,2,25
4	0	2	1276	8	16	4	0	8000	1,17,2,11
4	0	2	1764	8	16	4	0	8000	2,17,26,11
4	0	2	3424	8	16	4	0	8000	1,10,26,3
4	0	2	5888	8	16	4	0	8000	16,1,2,11
4	0	2	8340	8	16	4	0	8000	3,11,1,26
4	0	2	8480	8	16	4	0	8000	1,26,11,10
4	0	4	13	8	14	0	13	8000	
4	0	4	400	8	16	4	0	8000	11,8,19,2
4	0	4	1184	8	16	4	0	8000	10,1,19,24
4	0	4	2640	8	16	4	0	8000	8,24,10,3
4	0	4	4920	8	16	4	0	8000	10,19,3,24
4	0	4	5004	8	16	4	0	8000	11,2,10,16
4	0	4	6444	8	16	4	0	8000	3,11,26,8
4	0	4	14244	8	16	4	0	8000	10,11,3,24
4	0	28	4496	4	12	4	0	2000	24,25,10,19
4	0	28	5448	4	12	4	0	800	19,11,17,10
4	0	28	6136	4	12	4	0	800	17,10,10,11
4	0	28	6792	4	12	4	0	2000	3,10,16,24
4	0	28	8004	4	12	4	0	800	24,17,24,3
4	0	28	8352	4	12	4	0	800	17,11,8,8
4	0	28	9652	4	12	4	0	2000	10,1,17,19
4	0	28	10368	4	12	4	0	80	17,19,11,26
4	0	136	5	10	17	0	5	8525	
4	0	136	5436	10	19	4	0	8424	26,24,1,17
4	0	136	6964	10	19	4	0	8520	16,3,10,16
4	0	136	20584	10	19	4	0	8424	2,26,1,16
4	0	136	21932	10	19	4	0	8520	10,19,8,3
4	0	136	31184	10	19	4	0	8520	3,2,10,16
4	0	136	31840	10	19	4	0	8424	1,17,24,26
4	0	136	32508	10	19	4	0	9108	17,3,8,10
4	0	19a	13568	10	19	4	0	8242	26,17,19,19
4	0	19a	15156	10	19	4	0	8340	8,1,19,10
4	0	19a	32756	10	19	4	0	8242	26,17,17,17
4	0	19a	34140	10	19	4	0	8242	26,16,17,16
4	0	19a	34292	10	19	4	0	8340	11,8,2,17
4	0	19a	35060	10	19	4	0	8242	10,17,25,26
4	0	19a	37988	10	19	4	0	8242	26,19,17,19
4	0	19a	47292	10	19	4	0	900a	16,26,11,25
4	0	241	1104	9	21	4	3	8008	17,1,1,24
4	0	241	3244	9	21	4	12	9000	17,17,3,10
4	0	241	4288	9	21	4	6	8040	24,16,2,1
4	0	241	4328	9	21	4	5	8020	10,17,24,1
4	0	241	4756	9	21	4	5	8020	24,10,19,19
4	0	241	5316	9	21	4	12	9000	26,26,3,10
4	0	241	6584	9	21	4	3	8008	17,1,25,24
4	0	241	7572	9	21	4	10	8400	3,17,8,10
4	0	3f8	13	9	17	0	13	8150	
4	0	3f8	4920	9	19	4	0	8046	10,19,3,24
4	0	3f8	5004	9	19	4	0	810a	11,2,10,16
4	0	3f8	14244	9	19	4	0	8052	10,11,3,24
4	0	3f8	18484	9	19	4	0	8144	19,11,24,10
4	0	3f8	37156	9	19	4	0	8144	24,10,19,16
4	0	3f8	38924	9	19	4	0	8150	24,8,10,11
4	0	3f8	42272	9	19	4	0	8150	24,10,11,24
4	0	400	5	8	12	0	5	8000	
4	0	400	300	8	16	4	0	8000	19,26,3,16
4	0	400	3796	8	16	4	0	8000	8,1,25,10
4	0	400	4464	8	16	4	0	8000	26,26,10,8
4	0	400	4852	8	16	4	0	8000	26,8,10,2
4	0	400	5188	8	16	4	0	8000	10,11,19,16
4	0	400	5436	8	16	4	0	8000	26,24,1,17
4	0	400	6244	8	16	4	0	8000	26,16,8,16
4	0	407	1008	5	16	4	4	4030	11,3,11,25
4	0	407	1824	5	16	4	2	484	10,17,8,24
4	0	407	1908	5	16	4	4	4030	25,3,1,16
4	0	407	3904	5	16	4	4	1090	17,17,24,19
4	0	407	4160	5	16	4	1	282	2,16,26,3
4	0	407	7424	5	16	4	4	1090	24,1,19,1
4	0	407	10000	5	16	4	4	1090	24,16,1,1
4	0	407	11416	5	16	4	4	4030	3,19,17,24
4	0	408	300	4	12	4	0	800	19,26,3,16
4	0	408	6792	4	12	4	0	4000	3,10,16,24
4	0	408	6964	4	12	4	0	4000	16,3,10,16
4	0	408	10240	4	12	4	0	80	17,19,24,10
4	0	408	12780	4	12	4	0	80	2,16,26,16
4	0	408	14820	4	12	4	0	80	16,24,2,11
4	0	408	16752	4	12	4	0	80	10,26,24,26
4	0	408	17620	4	12	4	0	800	3,26,2,16
4	0	442	9388	9	17	4	0	8200	19,3,8,25
4	0	442	15704	9	17	4	0	8200	3,8,19,25
4	0	442	20208	9	17	4	0	8008	1,26,16,2
4	0	442	22148	9	17	4	0	8008	16,2,17,24
4	0	442	32116	9	17	4	0	8400	1,19,26,3
4	0	442	41000	9	17	4	0	8008	26,8,2,17
4	0	442	49680	9	17	4	0	8400	2,19,26,1
4	0	442	62020	9	17	4	0	8400	2,1,19,10
4	0	488	6504	9	17	4	0	8200	24,25,11,1
4	0	488	7256	9	17	4	0	8400	3,24,24,8
4	0	488	10088	9	17	4	0	8008	2,24,26,26
4	0	488	10496	9	17	4	0	8400	17,3,16,17
4	0	488	18760	9	17	4	0	8400	11,3,8,11
4	0	488	20444	9	17	4	0	8008	24,2,19,2
4	0	488	23732	9	17	4	0	8040	26,24,16,2
4	0	488	24576	9	17	4	0	8400	3,1,1,8
4	0	600	5436	4	12	4	0	4000	26,24,1,17
4	0	600	5936	4	12	4	0	4000	1,10,8,16
4	0	600	6244	4	12	4	0	2000	26,16,8,16
4	0	600	6508	4	12	4	0	4000	1,10,19,19
4	0	600	7228	4	12	4	0	4000	1,1,1,26
4	0	600	7696	4	12	4	0	4000	26,1,17,17
4	0	600	8592	4	12	4	0	2000	17,8,2,25
4	0	600	9092	4	12	4	0	4000	26,19,19,1
4	0	64e	5580	5	16	4	4	4022	25,11,24,2
4	0	64e	8092	5	16	4	4	4022	11,8,2,19
4	0	64e	9552	5	16	4	4	2044	11,1,10,8
4	0	64e	24412	5	17	4	4	4026	26,2,26,10
4	0	64e	26492	5	17	4	4	4026	10,2,25,24
