n	k	truth	candidate	T	N	depth	polarity	gates	cubes
4	0	1	0	8	16	0	0		15:0
4	0	1	1	8	16	0	1		15:1
4	0	1	2	8	16	0	2		15:2
4	0	1	3	8	16	0	3		15:3
4	0	1	4	8	16	0	4		15:4
4	0	1	5	8	16	0	5		15:5
4	0	1	6	8	16	0	6		15:6
4	0	1	7	8	16	0	7		15:7
4	0	2	208	8	14	0	0		15:1
4	0	2	210	8	14	0	2		15:3
4	0	2	212	8	14	0	4		15:5
4	0	2	214	8	14	0	6		15:7
4	0	2	216	8	14	0	8		15:9
4	0	2	218	8	14	0	10		15:11
4	0	2	220	8	14	0	12		15:13
4	0	2	222	8	14	0	14		15:15
4	0	4	416	8	14	0	0		15:2
4	0	4	417	8	14	0	1		15:3
4	0	4	420	8	14	0	4		15:6
4	0	4	421	8	14	0	5		15:7
4	0	4	424	8	14	0	8		15:10
4	0	4	425	8	14	0	9		15:11
4	0	4	428	8	14	0	12		15:14
4	0	4	429	8	14	0	13		15:15
4	0	28	635	4	8	1	8	10	13:13
4	0	28	638	4	8	1	8	17	11:11
4	0	28	661	4	10	1	10	10	13:13
4	0	28	689	4	10	1	12	17	11:11
4	0	28	733	4	10	2	8	10,1	13:13
4	0	28	740	4	10	2	8	10,17	13:13
4	0	28	742	4	10	2	8	10,24	13:13
4	0	28	743	4	10	2	8	10,25	13:13
4	0	136	1245	10	17	0	5		15:15,5:5,10:10,2:2,0:0,8:8
4	0	136	1341	10	17	2	1	3,10	15:15,5:5,8:8,10:10
4	0	136	1365	10	17	2	1	10,3	15:15,5:5,8:8,10:10
4	0	136	1446	10	17	2	4	19,8	15:15,5:5,8:8,10:10
4	0	136	1474	10	17	2	4	24,17	15:15,5:5,2:2,10:10
4	0	136	1541	10	17	3	0	8,19,2	15:15,5:5,8:8,10:10
4	0	136	1240	10	18	0	0		15:10,5:5,1:1,10:10,2:2,8:8,4:4
4	0	136	1241	10	18	0	1		15:11,1:1,5:5,10:10,2:2,0:0,8:8
4	0	19a	2012	10	15	1	2	26	15:15,6:6,1:1,9:9
4	0	19a	2059	10	15	2	0	26,17	15:15,6:6,1:1,9:9
4	0	19a	1987	10	16	1	0	26	15:13,1:1,9:9,4:4,6:6
4	0	19a	2120	10	17	2	2	10,26	15:15,6:6,1:1,9:9
4	0	19a	2150	10	17	2	2	19,26	15:15,10:10,1:1,5:5
4	0	19a	2171	10	17	2	2	26,10	15:15,6:6,1:1,9:9
4	0	19a	2252	10	17	3	0	10,26,17	15:15,6:6,1:1,9:9
4	0	19a	2304	10	17	3	0	26,10,17	15:15,6:6,1:1,9:9
4	0	241	2928	9	17	2	3	17,24	15:15,3:3
4	0	241	2980	9	17	2	5	10,24	15:15,5:5
4	0	241	3007	9	17	2	5	24,10	15:15,5:5
4	0	241	3072	9	17	2	10	17,3	15:15,10:10
4	0	241	3118	9	17	2	12	10,3	15:15,12:12
4	0	241	2813	9	18	2	1	10,24	15:11,1:1,5:5
4	0	241	2841	9	18	2	1	17,24	15:13,1:1,3:3
4	0	241	2862	9	18	2	1	24,10	15:11,1:1,5:5
4	0	3f8	3723	9	17	0	12		15:14,6:6,8:8,4:4
4	0	3f8	3724	9	17	0	13		15:15,6:6,8:8,4:4
4	0	3f8	3732	9	17	1	0	11	15:10,6:6,8:8,4:4
4	0	3f8	3756	9	17	1	1	11	15:11,6:6,8:8,4:4
4	0	3f8	3786	9	17	1	12	8	15:15,6:6,8:8,4:4
