n	k	truth	candidate	T	N	depth	polarity	gates	cubes
4	0	1	0	8	16	0	0		15:0
4	0	1	1	8	16	0	1		15:1
4	0	1	2	8	16	0	2		15:2
4	0	1	3	8	16	0	3		15:3
4	0	1	4	8	16	0	4		15:4
4	0	1	5	8	16	0	5		15:5
4	0	1	6	8	16	0	6		15:6
4	0	1	7	8	16	0	7		15:7
4	0	2	0	8	14	0	0		15:1
4	0	2	2	8	14	0	2		15:3
4	0	2	4	8	14	0	4		15:5
4	0	2	6	8	14	0	6		15:7
4	0	2	8	8	14	0	8		15:9
4	0	2	10	8	14	0	10		15:11
4	0	2	12	8	14	0	12		15:13
4	0	2	14	8	14	0	14		15:15
4	0	4	0	8	14	0	0		15:2
4	0	4	1	8	14	0	1		15:3
4	0	4	4	8	14	0	4		15:6
4	0	4	5	8	14	0	5		15:7
4	0	4	8	8	14	0	8		15:10
4	0	4	9	8	14	0	9		15:11
4	0	4	12	8	14	0	12		15:14
4	0	4	13	8	14	0	13		15:15
4	0	28	784	4	8	1	8	10	13:13
4	0	28	1168	4	8	1	8	17	11:11
4	0	28	1792	4	8	1	8	10	13:13
4	0	28	2352	4	8	1	8	17	11:11
4	0	28	4912	4	8	1	8	17	11:11
4	0	28	8656	4	8	1	8	17	11:11
4	0	28	9472	4	8	1	8	17	11:11
4	0	28	10480	4	8	1	8	10	13:13
4	0	136	5	10	17	0	5		15:15,5:5,10:10,2:2,0:0,8:8
4	0	136	4865	10	17	2	4	19,8	15:15,5:5,8:8,10:10
4	0	136	53697	10	17	2	1	3,10	15:15,5:5,8:8,10:10
4	0	136	56977	10	17	2	4	19,8	15:15,5:5,8:8,10:10
4	0	136	57202	10	17	3	0	8,19,2	15:15,5:5,8:8,10:10
4	0	136	59425	10	17	2	4	19,8	15:15,5:5,8:8,10:10
4	0	136	62737	10	17	2	4	24,17	15:15,5:5,2:2,10:10
4	0	136	64465	10	17	2	1	10,3	15:15,5:5,8:8,10:10
4	0	19a	1632	10	15	1	2	26	15:15,6:6,1:1,9:9
4	0	19a	3632	10	15	1	2	26	15:15,6:6,1:1,9:9
4	0	19a	5488	10	15	1	2	26	15:15,6:6,1:1,9:9
4	0	19a	6624	10	15	1	2	26	15:15,6:6,1:1,9:9
4	0	19a	10128	10	15	1	2	26	15:15,6:6,1:1,9:9
4	0	19a	10576	10	15	1	2	26	15:15,6:6,1:1,9:9
4	0	19a	20304	10	15	1	2	26	15:15,6:6,1:1,9:9
4	0	19a	25648	10	15	1	2	26	15:15,6:6,1:1,9:9
4	0	241	18273	9	17	2	10	17,3	15:15,10:10
4	0	241	23233	9	17	2	10	17,3	15:15,10:10
4	0	241	28561	9	17	2	12	10,3	15:15,12:12
4	0	241	34385	9	17	2	5	10,24	15:15,5:5
4	0	241	40993	9	17	2	10	17,3	15:15,10:10
4	0	241	41969	9	17	2	3	17,24	15:15,3:3
4	0	241	68641	9	17	2	3	17,24	15:15,3:3
4	0	241	71937	9	17	2	5	24,10	15:15,5:5
4	0	3f8	12	9	17	0	12		15:14,6:6,8:8,4:4
4	0	3f8	13	9	17	0	13		15:15,6:6,8:8,4:4
4	0	3f8	512	9	17	1	0	11	15:10,6:6,8:8,4:4
4	0	3f8	928	9	17	1	0	11	15:10,6:6,8:8,4:4
4	0	3f8	4208	9	17	1	0	11	15:10,6:6,8:8,4:4
4	0	3f8	4704	9	17	1	12	8	15:15,6:6,8:8,4:4
