# LOCAL algebraic fixtures; no PZ-reachability claim.
# w family offset a b sign canonical_y forward_carry forward_lhs inverse_carry inverse_lhs old136_forward_bad old136_inverse_bad
97 forward-low 0 000000000000000000000000000000003fffffffc00000003fffffffc0000001 0000000000000100000000000000008000000000000000000000000000000000 0 800000000000008000000000000000401fffffffe00000001fffffff5ffffe18 0 000000000000010000000000000000803fffffffc00000003ffffffebffffc31 0 ffffffffffffffffffffffffffffffffc00000003fffffffc00000003ffffffe 0 0
97 forward-low 0 000000000000000000000000000000003fffffffc00000003fffffffc0000001 0000000000000100000000000000008000000000000000000000000000000000 1 7fffffffffffff7fffffffffffffffc01fffffffe00000001fffffff5ffffe18 1 0000000000000100000000000000007fc00000003fffffffc0000001400003cf 1 000000000000000000000000000000003fffffffc00000003fffffffc0000001 1 0
97 forward-high 0 ffffffffffffffffffffffffffffffffc00000003fffffffbfffffff3ffffc2e 0000000000000100000000000000008000000000000000000000000000000000 0 8000000000000080000000000000003fe00000001fffffffdfffffff9ffffe17 1 0000000000000100000000000000007fc00000003fffffffbfffffff3ffffc2f 1 000000000000000000000000000000003fffffffc000000040000000c00003d1 1 0
97 forward-high 0 ffffffffffffffffffffffffffffffffc00000003fffffffbfffffff3ffffc2e 0000000000000100000000000000008000000000000000000000000000000000 1 7fffffffffffff7fffffffffffffffbfe00000001fffffffdfffffff9ffffe17 0 000000000000010000000000000000803fffffffc000000040000000c00003d1 0 ffffffffffffffffffffffffffffffffc00000003fffffffbfffffff3ffffc2e 0 0
97 forward-low 1 000000000000000000000000000000003fffffffc00000003fffffffc0000002 0000000000000100000000000000008000000000000000000000000000000000 0 000000000000008000000000000000401fffffffe00000001fffffffe0000001 0 000000000000010000000000000000803fffffffc00000003fffffffc0000002 0 ffffffffffffffffffffffffffffffffc00000003fffffffc00000003ffffffd 0 0
97 forward-low 1 000000000000000000000000000000003fffffffc00000003fffffffc0000002 0000000000000100000000000000008000000000000000000000000000000000 1 ffffffffffffff7fffffffffffffffc01fffffffe00000001ffffffedffffc30 1 0000000000000100000000000000007fc00000003fffffffc00000024000079e 1 000000000000000000000000000000003fffffffc00000003fffffffc0000002 1 0
97 forward-high 1 ffffffffffffffffffffffffffffffffc00000003fffffffbfffffff3ffffc2d 0000000000000100000000000000008000000000000000000000000000000000 0 0000000000000080000000000000003fe00000001fffffffe00000001fffffff 1 0000000000000100000000000000007fc00000003fffffffc00000003ffffffe 1 000000000000000000000000000000003fffffffc000000040000000c00003d2 1 0
97 forward-high 1 ffffffffffffffffffffffffffffffffc00000003fffffffbfffffff3ffffc2d 0000000000000100000000000000008000000000000000000000000000000000 1 ffffffffffffff7fffffffffffffffbfe00000001fffffffdfffffff1ffffc2e 0 000000000000010000000000000000803fffffffc000000040000001c00007a2 0 ffffffffffffffffffffffffffffffffc00000003fffffffbfffffff3ffffc2d 0 0
97 forward-low 2 000000000000000000000000000000003fffffffc00000003fffffffc0000003 0000000000000100000000000000008000000000000000000000000000000000 0 800000000000008000000000000000401fffffffe00000001fffffff5ffffe19 0 000000000000010000000000000000803fffffffc00000003ffffffebffffc33 0 ffffffffffffffffffffffffffffffffc00000003fffffffc00000003ffffffc 0 0
97 forward-low 2 000000000000000000000000000000003fffffffc00000003fffffffc0000003 0000000000000100000000000000008000000000000000000000000000000000 1 7fffffffffffff7fffffffffffffffc01fffffffe00000001fffffff5ffffe19 1 0000000000000100000000000000007fc00000003fffffffc0000001400003cd 1 000000000000000000000000000000003fffffffc00000003fffffffc0000003 1 0
